experiment,gender_accuracy,gender_precision,gender_recall,gender_f1,age_mae,age_rmse
E00_real_only,0.8917627213944335,0.8920330014993696,0.8917627213944335,0.8916512538676249,6.493802741517637,9.29507165808098
E01_real_traditional,0.8822041045825133,0.8841476193057315,0.8822041045825133,0.8822533641663264,6.278290152130818,8.98542248653393
E02_real_cae,0.8878268203542311,0.8905215055598623,0.8878268203542312,0.8873720442545048,6.448928337469844,9.236300929884651
E03_real_vae,0.875737981445038,0.8838592782079121,0.875737981445038,0.8745780420058598,6.608878860890547,9.244377231739083
E04_real_gan,0.8824852403710992,0.882504422031117,0.8824852403710992,0.8824318659294741,6.618315855103462,9.573123394724952
E05_all,0.8670227719988755,0.8699569657393333,0.8670227719988755,0.8670471560756737,6.444677221563917,9.180199391739993
E06_real_cae_vae,0.8782682035423109,0.8812958863666269,0.878268203542311,0.8777171794813243,6.354090413552575,9.02876140583823
E07_real_vae_gan,0.893168400337363,0.893163449150278,0.893168400337363,0.8931656419036398,6.392800037365533,9.17596159568945
hp_lambda_age_05,0.8838909193140286,0.8838730526489331,0.8838909193140287,0.8838735158274703,7.371554303829476,10.494507669627062
hp_lambda_age_10,0.8667416362102895,0.870624924423825,0.8667416362102895,0.8659971649028761,7.364467063629128,10.301229770119546
hp_lambda_age_20,0.8628057351700872,0.8642580284074098,0.8628057351700873,0.8624019480689114,7.3489343755896055,10.431165223625777
hp_lr_0005_dropout_02,0.8734888951363509,0.8752143012224649,0.8734888951363509,0.8735461426954714,7.4247812402526545,10.456505470960662
hp_lr_001_dropout_05,0.8633680067472589,0.8650277157675377,0.8633680067472589,0.8634309801376158,7.31961955349198,10.461362486770922
